category,city_quotes,mean_quality_score,min_quality_score,max_quality_score,mean_relative_iqr,high_spread_quotes,medium_spread_quotes,low_spread_quotes,mean_direct_evidence_ratio,min_recommended_rate,max_recommended_rate,pass_rate_pct
BATTERIES,12,57.0,57,57,1.4020833333333333,12,0,0,1.0,150.0,170.0,100.0
CABLES_WIRES,12,54.0,54,54,0.46541666666666665,0,12,0,0.875,522.5,580.0,100.0
CRT,12,57.0,57,57,0.06116666666666667,0,0,12,0.6,170.0,185.0,100.0
LCD_LED,12,57.0,57,57,0.18358333333333332,0,0,12,0.8329999999999999,26.0,28.0,100.0
MOBILE_TABLETS,12,57.0,57,57,2.3175000000000003,12,0,0,1.0,307.5,340.0,100.0
MOTORS,12,54.0,54,54,0.6599166666666667,0,12,0,0.5,58.5,64.5,100.0
PCB,12,57.0,57,57,1.6524999999999999,12,0,0,1.0,435.0,505.0,100.0
PLASTICS,12,57.0,57,57,0.9614166666666666,12,0,0,1.0,36.0,41.0,100.0
